"observed_strength","hidden_strength","n_total","n_control","ps_observed_min","ps_observed_max","ps_observed_iqr","weight_cv_control","var_observed_control","var_ideal_control","epsilon_added_to_denominator","original_variance_ratio","stabilized_variance_ratio","original_R2","stabilized_R2","tau_observed","tau_ideal","tau_gap_observed_minus_ideal","original_bound","stabilized_bound","flag_good_overlap_instability","diagnostic_status","replicate","grid_type"
0,0.03,1800,865,0.5,0.5,0,0,0,0.000811086946706903,8.55872344076181e-05,Inf,9.47672806956253,0.999999999999,0.894478348153535,0.0322986715601081,0.00952790906127854,0.0227707624988296,NA,0.0356585840528925,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",1,"alpha_by_hidden_strength"
0,0.03,1800,887,0.5,0.5,0,0,0,0.000871516555824789,9.43855877557826e-05,Inf,9.23357661425798,0.999999999999,0.891699604413759,-0.054112197968743,-0.0783632773347459,0.0242510793660029,NA,0.0365051412766094,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",2,"alpha_by_hidden_strength"
0,0.03,1800,860,0.5,0.5,0,0,0,0.000819192360334763,8.37030330466274e-05,Inf,9.78688979978092,0.999999999999,0.897822493104767,-0.0616363603761905,-0.0848790197785281,0.0232426594023376,NA,0.0353625661291811,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",3,"alpha_by_hidden_strength"
0,0.03,1800,904,0.5,0.5,0,0,0,0.000813093864909354,0.00010179368622449,Inf,7.98766500228908,0.999999999999,0.874806968029653,0.0131114971024822,-0.00563851167553509,0.0187500087780172,NA,0.0332548294106976,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",4,"alpha_by_hidden_strength"
0,0.03,1800,895,0.5,0.5,0,0,0,0.000906347027940541,9.78022648881292e-05,Inf,9.26713741217816,0.999999999999,0.892091812657717,0.0309717988005562,0.00732001290809103,0.0236517858924652,NA,0.0384354271667347,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",5,"alpha_by_hidden_strength"
0,0.03,1800,891,0.5,0.5,0,0,0,0.00100326821240604,9.60788158023723e-05,Inf,10.4421375724456,0.999999999999,0.904234167280197,0.042048281406742,0.0149240785976552,0.0271242028090868,NA,0.0408048640540854,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",6,"alpha_by_hidden_strength"
0,0.03,1800,891,0.5,0.5,0,0,0,0.000975040110095841,9.60788158023723e-05,Inf,10.1483360504925,0.999999999999,0.901461678542713,0.0495598859302655,0.0245236029436995,0.025036282986566,NA,0.0390858763152344,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",7,"alpha_by_hidden_strength"
0,0.03,1800,900,0.5,0.5,0,0,0,0.000912342889624509,1e-04,Inf,9.12342889624509,0.999999999999,0.890392087079062,0.100764002852199,0.0795853624116665,0.0211786404405322,NA,0.0360003722995191,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",8,"alpha_by_hidden_strength"
0,0.03,1800,905,0.5,0.5,0,0,0,0.000933606260770967,0.000102247120876377,Inf,9.1308806817138,0.999999999999,0.890481538982031,0.115588653775513,0.0921160728100772,0.0234725809654355,NA,0.0378671323904339,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",9,"alpha_by_hidden_strength"
0,0.03,1800,895,0.5,0.5,0,0,0,0.000810993429720963,9.78022648881292e-05,Inf,8.29217432386269,0.999999999999,0.879404368390777,-0.0160170284022956,-0.0387372178650254,0.0227201894627298,NA,0.0349687613479138,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",10,"alpha_by_hidden_strength"
